The course of maturation of rod-mediated visual thresholds in infants.	To measure the developmental course of infants' rod-mediated thresholds.
Changes in anal canal sensation after childbirth.	Obstetic trauma predisposes to faecal incontinence. Anal canal sensation is impaired in incontinent patients. To assess the effect of childbirth on anal canal sensation anal mucosal electrosensitivity was measured in 122 primiparous patients in the immediate postnatal period and in 74 at 6 months postpartum. There were 35 normal vaginal deliveries, 36 forceps deliveries, 20 ventouse extractions, ten vaginal breech deliveries and 21 caesarean sections. Sensation was impaired in the lower, mid and upper anal canal immediately after delivery in those patients who had a normal vaginal delivery or a forceps delivery when compared with controls or with those delivered by caesarean section. Women who had ventouse deliveries had impaired sensation immediately after delivery in the mid anal canal compared with controls and those undergoing caesarean section. By 6 months there were no differences between any group. Patients who sustained a division of the external anal sphincter at delivery had impaired sensation which persisted in the upper anal canal at 6 months.
Functional magnetic resonance imaging with ultra-high fields]	Functional magnetic resonance imaging (fMRI) is currently the primary method for non-invasive functional localization in the brain. With the emergence of MR systems with field strengths of 4 Tesla and above, neuronal activation may be studied with unprecedented accuracy. In this article we present different approaches to use the improved sensitivity and specificity for expanding current fMRT resolution limits in space and time based on several 7 Tesla studies. In addition to the challenges that arise with ultra-high magnetic fields possible solutions will be discussed.
Orientation specificity of learning vernier discriminations.	Orientation selective neurons in the primary visual cortex typically respond to a range of orientations that covers 20 degrees or more, while in psychophysical experiments, orientation bandwidth is often clearly narrower. Here, we measure the orientation specificity of perceptual learning for vernier discriminations. More than 70 observers, in separate groups, practiced a vernier discrimination task with a constant stimulus orientation. After a 1h session of training, the vernier was rotated by 2 degrees, 4 degrees, 10 degrees, 20 degrees, 45 degrees or 90 degrees. Improvement through training in the first session transferred to the second session (tested on the next day) up to 10 degrees of stimulus rotation. We found no transfer for rotations of 20 degrees, 45 degrees and 90 degrees. Hence, the orientation half-bandwidth of perceptual learning is around 15 degrees, leading to a bandwidth of 30 degrees and corresponding to that of single neurons in early visual cortices, while being narrower than that in higher cortical areas.
Sensations during chest tube removal.	Nurses prepare patients for chest tube removal, yet little has been written to indicate the sensations to be expected during this routine procedure. The sensations reported by patients and factors that could influence those sensations were examined in this study. The sample consisted of 36 patients after thoracic surgery (24 men and 12 women), all of whom were scheduled to have either a mediastinal or a pleural tube removed. They reported their sensations and the intensity of those sensations (using a 100 mm visual analog scale) within 15 minutes after tube removal. The most frequently reported sensation during chest tube removal was burning, followed by pain and pulling with mean intensities of 64, 62, and 45, respectively. Subjects reported having few sensations after the tube was removed with only five reporting soreness in the chest. The sensations and intensities did not differ for those who did and did not receive analgesia or for those having a pleural tube versus a mediastinal tube removed. The sensations were similar for the old and young subjects with younger subjects reporting higher intensities. Women reported pain more frequently than men, but the intensities of the sensations reported by men and women were not significantly different. The sensations reported during chest tube removal differ from those described in the literature and can be used to prepare patients more appropriately for chest tube removal.
Dreaming: cognitive processes during cortical activation and high afferent thresholds.	The concepts of nonlocal, or distributed, cortical and cognitive activation are examined for their usefulness in describing the relations between sleep and waking neurocognitive processes. Changes in the pattern of distributed activation and inhibition of selected portions of sensory, cognitive, and motor decision modules account for the differences in imagery and thought across sleep and waking states in comparable environments. The massive inhibition of sensory and proprioceptive input to perceptual modules in Stage 1 REM sleep leaves the perceptual and cognitive modules, by default, with their own output as their sole input. Given this constraint, the activation of portions of the cortical structures that execute waking perceptual, cognitive and motor responses is necessary and sufficient to produce the imagery and thought of dreaming sleep. Connectionist models are introduced so that neurophysiological and cognitive concepts of distributed and local activation and inhibition can be translated into a common language, and in so doing, are used to simulate several processes fundamental to the production of imaginal thought and dreaming.
When orthogonal orientations are not processed independently.	We studied the extent to which two gratings, superimposed at orthogonal orientations, are processed independently in making spatial frequency discriminations. Our findings suggest that independence is not preserved in this task, and that it breaks down in two distinct ways: (1) judgments about one component are reduced in accuracy by the presence of the second; and (2) information about the two component gratings is not used independently in making judgments about the compound stimulus formed by them. These results place constraints on the applicability of models that assume information from spatially tuned mechanisms is directly available in performing a discrimination task.
Human perception of structure from motion.	Novel dynamic random-do displays representing a rotating cylinder or a noise-field were used to investigate the perception of structure from motion (SFM) in humans. The finite lifetimes of the points allowed the study of spatiotemporal characteristics with smoothly moving stimuli. In one set of experiments subjects had to detect the change from the unstructured motion to the appearance of the cylinder in a reaction time task. In another set of experiments subjects had to distinguish these two stimuli in a two-alternative forced-choice task. The two major findings were: (1) a relatively constant point lifetime threshold (50-85 msec) for perceiving structure from motion. This threshold is similar to the threshold for estimating velocity and suggests that velocity measurements are used to process SFM; (2) long reaction times for detecting structure (approximately 1 sec). The build-up of performance with time and with increasing numbers of points reflects a process of temporal and spatial integration. We propose that this integration is achieved through the generation of a surface representation of the object. Information from single features on the object appears to be used to interpolate a surface between these local measurements allowing the system to improve perception over extended periods of time even though each feature is present only briefly. Selective masking of the stimulus produced characteristic impairments which suggest that both velocity measurements and surface interpolation are global processes.
Contrast sensitivity of optokinetic nystagmus.	To determine the threshold characteristics of optokinetic nystagmus (OKN), contrast thresholds for involuntary OKN were measured for gratings of different spatial frequency to yield an OKN-contrast sensitivity function (OKN-CSF). The OKN-CSF resembled an inverted U-shaped function with temporal-to-nasal and nasal-to-temporal movement yielding similar functions. In addition, when psychophysical CSFs were determined for separate form and movement thresholds, it was discovered that the OKN-CSF approximated the psychophysical-movement CSF rather than the psychophysical-form CSF.
A horizontal stripe of displacement sensitivity in the human visual field.	Displacement thresholds of peripheral sites in monocular human vision were obtained. The average of 12 directional thresholds at different visual field sites was used to define isometric lines of average displacement threshold about central vision. Isometric lines extended further into the temporal visual fields along the horizontal meridian than along other meridians. At any single site in the peripheral visual field the thresholds were not the same in all directions; they were larger toward and away from central vision. These two psychophysical findings vary in a qualitatively similar manner across the retinal field, as does the average size and the collected orientation bias of dendritic fields of retinal ganglion cells.
Anorectal function after long-term transanal colonic irrigation.	The increased use of transanal colonic irrigation (TAI) warrants study of its effects on anorectal function after long term use.
Somatosensory-related gamma-, beta- and alpha-augmentation precedes alpha- and beta-attenuation in humans.	Several human studies have demonstrated that the amplitudes of cortical oscillations are altered by various sensorimotor and cognitive tasks. Event-related augmentation of gamma oscillations and attenuation of alpha and beta oscillations have been often used as surrogate markers of cortical activation elicited by tasks especially in presurgical identification of eloquent cortices. In the present study, we addressed a question whether somatosensory-related gamma augmentation 'precedes' or 'co-occurs with' somatosensory-related attenuation of alpha-beta oscillations.
Differential roles of stretch-sensitive pelvic nerve afferents innervating mouse distal colon and rectum.	Information about colorectal distension (i.e., colorectal dilation by increased intraluminal pressure) is primarily encoded by stretch-sensitive colorectal afferents in the pelvic nerve (PN). Despite anatomic differences between rectum and distal colon, little is known about the functional roles of colonic vs. rectal afferents in the PN pathway or the quantitative nature of mechanosensory encoding. We utilized an in vitro mouse colorectum-PN preparation to investigate pressure-encoding characteristics of colorectal afferents. The colorectum with PN attached was dissected, opened longitudinally, and pinned flat in a Sylgard-lined chamber. Action potentials of afferent fibers evoked by circumferential stretch (servo-controlled force actuator) were recorded from the PN. Stretch-sensitive fibers were categorized into the following four groups: colonic muscular, colonic muscular/mucosal, rectal muscular, and rectal muscular/mucosal. Seventy-nine stretch-sensitive PN afferents evenly distributed into the above four groups were studied. Rectal muscular afferents had significantly greater stretch-responses than the other three groups. Virtually all rectal afferents (98%) had low thresholds for response and encoded stimulus intensity into the noxious range without obvious saturation. Most colonic afferents (72%) also had low thresholds (<14 mmHg), but a significant proportion (28%) had high thresholds (>18 mmHg) for response. These high-threshold colonic afferents were sensitized to stretch by inflammatory soup; response threshold was significantly reduced (from 23 to 12 mmHg), and response magnitude significantly increased. These results suggest that the encoding of mechanosensory information differs between colonic and rectal stretch-sensitive PN afferents. Rectal afferents have a wide response range to stretch, whereas high-threshold colonic afferents likely contribute to visceral nociception.
The effect of optotype presentation duration on acuity estimates revisited.	A high reproducibility of visual acuity estimates is important when monitoring disease progression or treatment success. One factor that may affect the result of an acuity measurement is the duration of optotype presentation. For times below 1 s, previous studies have convincingly shown that acuity estimates increase with presentation duration. For durations above 1 s, the situation is less clear.
Phosphene thresholds evoked with single and double TMS pulses.	To evaluate the quantitative advantage of double pulses vs. single pulses in TMS phosphenes evoked from the occipital cortex.
Temporal resolution and spectral sensitivity of the visual system of three coastal shark species from different light environments.	Visual temporal resolution and scotopic spectral sensitivity of three coastal shark species (bonnethead Sphyrna tiburo, scalloped hammerhead Sphyrna lewini, and blacknose shark Carcharhinus acronotus) were investigated by electroretinogram. Temporal resolution was quantified under photopic and scotopic conditions using response waveform dynamics and maximum critical flicker-fusion frequency (CFF). Photopic CFF(max) was significantly higher than scotopic CFF(max) in all species. The bonnethead had the shortest photoreceptor response latency time (23.5 ms) and the highest CFF(max) (31 Hz), suggesting that its eyes are adapted for a bright photic environment. In contrast, the blacknose had the longest response latency time (34.8 ms) and lowest CFF(max) (16 Hz), indicating its eyes are adapted for a dimmer environment or nocturnal lifestyle. Scotopic spectral sensitivity revealed maximum peaks (480 nm) in the bonnethead and blacknose sharks that correlated with environmental spectra measured during twilight, which is a biologically relevant period of heightened predation.
Regeneration of the projection and synaptic connections of tympanic receptor fibers of Locusta migratoria (Orthoptera) after axotomy.	The tergite nerve N6 of the first abdominal segment of the locust Locusta migratoria contains receptor fibers, from the tympanic organ, and hair sensilla as well as motoric axons. The nerve was axotomized in nymphal instars or adults, and the regeneration of nerve fibers was studied. The sensory fibers regrow and regenerate their projection pattern within the central nervous system. They recognize their specific neuropile areas even after entering the ganglion through different pathways. The receptor fibers of the tympanic organ reestablish synaptic connections to auditory interneurons, even though the physiological characteristics of the interneurons are not fully restored. This regenerative capability contrasts with the lack of regeneration of peripheral structures in locusts, but supports the described plasticity in the auditory system of monaural locusts (Lakes, Kalmring, and Engelhard, 1990). The motor fibers do not regenerate nerves innervating muscles of the body wall.
Spatial summation determines the contrast response of displacement threshold hyperacuity.	The effect of line length on displacement threshold hyperacuity at various levels of contrast was investigated. At high contrasts there was no significant effect of line length, but as contrast was reduced thresholds for shorter line lengths increased rapidly. Thresholds at longer line lengths demonstrated a form of contrast saturation which differed from vernier acuity whose thresholds increased consistently with a reduction in contrast. As line length in the displacement threshold task was reduced, the amount of contrast saturation became less and displacement thresholds therefore resembled the contrast response of vernier acuity. Results are explained in terms of spatial summation along the length of the lines, the effects of which depend upon the spatial configuration of the hyperacuity stimulus under consideration.
Temporal phase response of the short-wave cone signal for color and luminance.	A chromatic discrimination paradigm was used to measure the temporal phase of the S (short-wave cone) signal relative to the L--M (long-wave cone minus middle-wave cone) signal. Suprathreshold equiluminant red-green flicker that stimulates the L--M mechanism was presented on a steady, intense yellow-green adapting field. Violet flicker that stimulates the S cones was added to the red-green flicker at different temporal phase angles, and the violet modulation depth was varied to achieve a chromatic discrimination threshold. A template was fitted to the data relating thresholds to phase: the location of the template symmetry axis showed that the S signal lagged L--M by about 75-90 degrees at 10 Hz. This is about one half the phase lag obtained for luminance or motion discrimination. The phase discrepancy shows that there are separate luminance and chromatic mechanisms receiving S cone inputs. The hue of the flicker in the present study varied strongly with phase angle, with the positive and negative excursions of the S cone signal producing a reddish-blue and greenish-yellow, respectively, and these colors combined with the reddish and greenish hues produced by the L--M signal. The observed phase shift, and measured color appearance of the combined flicker, account for the colors seen on a radially segmented disk of Munsell hues when rotated: the colors differ strikingly depending on the direction of rotation.
A model for contrast discrimination with incremental and decremental test patches.	Whittle [Vision Research, 26, 1677 (1986)] has shown that the metric of contrast W = delta L/Lmin (delta L = difference in luminance between test patch and background, Lmin = the smaller of the luminance of the background or test patch) is able to provide a unifying description of the pattern of contrast discrimination thresholds for pairs of test patches set against a common background. In particular the metric W unifies the pattern of discrimination thresholds for both increment and decrement pairs. We argue that while W provides a good mathematical description of Whittle's data it is functionally implausible since it implies that the component of the stimulus which sets the adaptational level for increments is different from that which sets the adaptational level for decrements. We argue that the metric G = ln(L/Lb) (L = test patch luminance, Lb = background luminance) is physiologically more plausible than W and show that G can provide at least as good a fit as W to Whittle's data when incorporated in a transfer function of the form RG = kG1-n, with n set to 0.69. The fit to the data can be improved still further if a parameter representing the non-linearity in the gain-luminance function at low luminances is included in the RG equation. The theoretical implications for retinal gain mechanisms are discussed.
Perceived speed of moving two-dimensional patterns.	When two cosine gratings drifting in different directions are superimposed they can form a coherently moving two-dimensional pattern (plaid) whose resultant speed is related to the component velocities by a geometric construction known as the intersection-of-constraints (IOC). When measured against a standard which has the same spatial frequency as its components, a plaid always appears to move slower than the IOC prediction. However, the perceived speed is generally faster than would be predicted if speed were judged based on the temporal frequency of either the components or the nodes of the plaid. On the other hand, when the standard has the same spatial period as the nodes, the plaid appears to move at the same rate as the predicted IOC resultant. Furthermore, a grating with the same spatial period as the nodes appears to move slower than a grating at the component spatial frequency, just the plaid does. It is therefore likely that speed is encoded similarly for both gratings and plaids, and that the perceived speed of both is determined by the spatial periodicity of the pattern. We have previously classified 2D moving patterns as either type I (resultant lies between component directions) or type II (resultant outside of components). We find that the perceived speed of both types can be accounted for on the basis of the nodal spatial period. Finally we present a model for velocity coding which is based on the responses of spatio-temporal mechanisms.
Visual sensitivity to spatially sampled modulation in human observers.	Thresholds were measured for detecting spatial luminance modulation in regular lattices of visually discrete dots. Thresholds for modulation of a lattice are generally higher than the corresponding threshold for modulation of a continuous field, and the size of the threshold elevation, which depends on the spacing of the lattice elements, can be as large as a one log unit. The largest threshold elevations are seen when the sample spacing is 12 min arc or greater. These results are similar to those observed by Burr, Ross and Morrone [Vision Research, 25, 717-727 (1985)], who proposed an explanation based on a compressive point nonlinearity. Although their explanation is not consistent with the present data, the results may be explained in terms of nonlinear saturation of a spatially opponent stage early in the visual pathway. Theories based on response compression cannot explain the further observation that the threshold elevations due to spatial sampling are also dependent on modulation frequency: the greatest elevations occur with higher modulation frequencies. The idea that this is due to masking of the modulation frequency by the spatial frequencies in the sampling lattice is considered.
The temporal integration and resolution of velocity signals.	The temporal properties of human visual motion detection were explored. Experiment 1 measured thresholds for speed discrimination as a function of stimulus duration. Thresholds fell asymptotically to a Weber fraction around 0.06 over a period of approx. 100 msec, with faster speeds asymptoting at slightly shorter stimulus durations. A second experiment required subjects to discriminate a pattern that was modulated between two speeds from one which remained at a constant speed. The minimum depth of the modulation required to make this judgement was found to be equivalent to a Weber fraction of 0.3 at low modulation rates, around five times greater than when the velocities were presented in isolation (expt 1). At some higher modulation rate performance dramatically declined. The modulation rate at which this occurred decreased with stimulus speed, and increased with stimulus size. The results of expt 1 seem consistent with the known properties of primary motion sensors, while the results of the latter experiments may arise from a later stage integrating the output of these primary motion sensors.
Situational and psychophysiological factors in psychologically induced pain.	To investigate pain that occurs in the absence of painful stimulation, normal subjects were connected to a sham stimulator and were told that a headache could occur as a result of the electrical current they would receive. Half of the subjects who received this suggestion reported pain. The frequency and intensity of pain reports in a group which was given prior pain experience as a reference point in reporting pain and in a group which was exposed to a manipulation designed to reduce intentional deception were not significantly different from the pain reports of a group not exposed to these manipulations. The frequency of pain reports in subjects not connected to the sham stimulator but still asked to report pain was 25% which was significantly less than the frequency for subjects who were told there would be stimulation to the head. Pain ratings increased as the settings of the sham stimulator were increased. Subjects who reported pain had significantly fewer electrodermal responses to tones signaling them to prepare for a reaction time task. The results suggest that pain can be produced in the absence of peripheral stimulation. The pain does not appear to be due to intentional deception or the lack of a standard for comparison, but is strongly influenced by environmental cues. Psychophysiologically, pain responders were less attentive to signal stimuli.
Lingual vibrotactile threshold shift during magnitude-estimation scaling: effects on magnitude-estimation responses and scaling behavior across age.	The purpose of this study was to investigate the effects of age on tactile threshold shifts occurring during magnitude-estimation scaling of vibratory stimuli presented to the dorsal surface of the tongue. Relationships of the lingual vibrotactile threshold shifts to suprathreshold stimulus intensity, magnitude-estimation responses, and over-all scaling behavior were explored. Three groups differing in mean age participated in this study (Group 1 8.05 yr., Group 2 19.46 yr., and Group 3 56.2 yr.). Each subject performed two magnitude-estimation tasks. In one task, threshold of sensitivity was measured after every suprathreshold numerical response to the subject. If a threshold shift was recorded, threshold was allowed to return to the pretest baseline level continuing to the next suprathreshold stimulus presentation. The results showed that threshold shift during magnitude-estimation scaling took place for all three age groups and that the shift was related to the intensity of the suprathreshold vibratory stimulus being applied to the tongue. They also showed that Group 2 (young adults) performed magnitude-estimation scaling differently when threshold shift was controlled than when it was not. The other two groups of subjects were not similarly affected.
Accuracy of weightbearing at three target levels during bilateral upright stance in patients with neuropathic feet and control subjects.	The purposes of this study were to (1) describe errors in weightbearing at three target levels for patients with neuropathic feet and control subjects, (2) compare the absolute errors at the three target levels between groups, and (3) identify predictor variables of errors in weightbearing by the neuropathic group. The groups of 26 subjects were matched for age and height. Weightbearing was measured with digital scales while subjects attempted to adjust their weight through a designated lower extremity to each target level (25, 50, and 75% of body weight). Analysis of variance indicated no significant difference in the percentage weightbearing between groups at the three target levels. There was a significant difference in errors made in weightbearing by the groups at the three target levels. Mean errors ranged from 8.5 to 9.7% for the neuropathic group and from 2.4 to 6.6% for the control group. The findings cast doubt on the utility (in the absence of feedback) of requesting individuals, particularly those with neuropathic feet, to weightbear at specific target levels.
An informational approach to sensory adaptation.	Concepts from information theory can enhance our understanding of perceptual processes by providing a unified picture of the process of perception. A single equation is shown to embrace adaptation phenomena, stimulus-response relations, and differential thresholds. Sensory adaptation is regarded as representing a gain in information by the receptor. It is calculated that for constant stimuli in the form of step inputs, insects and arachnids obtain approximately the same amount of information per stimulus from their respective environments as do human beings.
Directional sensitivity along the upper limb in humans.	The capacity of four neurologically healthy young adults to distinguish opposing directions of cutaneous motion was determined at five different sites along the proximal-distal axis of the upper limb. Constant-velocity brushing stimuli (ranging from 0.5 to 32.0 cm/sec) were delivered through an aperture in a Teflon plate that was securely positioned in light contact with the skin. In one series of experiments, directional sensitivity in d' units was assessed at each site, using an aperture length of 0.75 cm. In a second series of experiments, the aperture length required to obtain the same criterion level of directional sensitivity at each site was determined. To attain the sensitivity reached at distal sites, a proximal stimulus had to traverse a longer chord of skin. Specifically, chords 5.9 times longer on average (range = 5.4-6.2) were required on the proximal forearm than on the index finger pad. This finding suggests that relative directional sensitivity increases sixfold from the proximal forearm to the finger pad. Moreover, relative directional sensitivity on the shoulder was comparable to that observed on the proximal forearm for two of the subjects, and approximately one-half that observed on the proximal forearm for the other two subjects. In addition to such a prominent spatial gradient in relative directional sensitivity, the velocity of stimulus motion at which directional sensitivity was highest increased systematically as the test site was shifted from the finger pad to the proximal forearm. Specifically, the optimal velocity on the finger pad varied among subjects from 1.5 to 9.4 cm/sec (mean = 5.4 cm/sec), and on the proximal forearm from 11.5 to 31.2 cm/sec (mean = 18.6 cm/sec). The optimal velocity on the shoulder was not significantly different from that observed on the proximal forearm. The results suggest that effective and informed clinical testing of patients' capacity to distinguish opposing directions of motion on cutaneous regions that differ in peripheral innervation density requires appreciation of the sensitivities of different skin regions, as well as the unique velocity dependency of direction discrimination at each skin site.
On brain's magnetic responses to sensory stimuli.	Magnetoencephalography (MEG) as a tool to study the brain's responses to external stimuli is briefly reviewed. The introduction of multichannel superconducting quantum interference device magnetometers with over 20 sensors is now revolutionizing MEG recordings, and data are starting to accumulate about the functions of different sensory systems. Magnetic evoked responses also can be used in clinical assessment of the integrity of sensory pathways.
Temporal interactions during paired-electrode stimulation in two retinal prosthesis subjects.	Since 2002, six blind patients have undergone implantation of an epiretinal 4 × 4 electrode array designed to directly stimulate the remaining cells of the retina after severe photoreceptor degeneration due to retinitis pigmentosa. This study was conducted to investigate how the brightness of percepts is affected by pulse timing across electrodes in two of these patients.
Awareness and filling-in of the human blind spot: linking psychophysics with retinal topography.	To link psychophysical thresholds for blind spot awareness and filling-in with early neural components that underpin these perceptions.
No interaction of first- and second-order signals in the extraction of global-motion and optic-flow.	Edwards and Badcock (Vision Research 35, 2589, 1995) argued for independent first-order (FO) and second-order (SO) motion systems up to and including the global-motion level. That study used luminance (which they called FO) and contrast (SO) modulated dots. They found that SO noise dots did not mask signal extraction with luminance increment dots while luminance increment dots did mask SO signal extraction. However, they argued this asymmetry was not due to a combined FO-SO pathway, but rather due to the fact that the luminance-modulated dots, being also local variations in contrast, are both FO and SO stimuli. We test their claim of FO and SO independence by using a stimulus that can generate pure FO and SO signals, specifically one consisting of multiple Gabors (the global-Gabor stimulus) in which the Gaussian envelopes are static and the carriers drift. The carrier can either be luminance-modulated (FO) or contrast-modulated (SO) and motion signals from the randomly-oriented local Gabors must be combined to detect the global-motion vector. Results show no cross-masking of FO and SO signals, thus supporting the hypothesis of independent FO and SO systems up to and including the level extracting optic-flow.
Mislocalization of near-threshold tactile stimuli in humans: a central or peripheral phenomenon?	Principles of brain function can be disclosed by studying their limits during performance. Tactile stimuli with near-threshold intensities have been used to assess features of somatosensory processing. When stimulating fingers of one hand using near-threshold intensities, localization errors are observed that deviate significantly from responses obtained by guessing - incorrectly located stimuli are attributed more often to fingers neighbouring the stimulated one than to more distant fingers. Two hypotheses to explain the findings are proposed. The 'central hypothesis' posits that the degree of overlap of cortical tactile representations depends on stimulus intensity, with representations less separated for near-threshold stimuli than for suprathreshold stimuli. The 'peripheral hypothesis' assumes that systematic mislocalizations are due to activation of different sets of skin receptors with specific thresholds. The present experiments were designed to decide between the two hypotheses. Taking advantage of the frequency tuning of somatosensory receptors, their contribution to systematic misclocalizations was studied. In the first experiment, mislocalization profiles were investigated using vibratory stimuli with frequencies of 10, 20 and 100 Hz. Unambiguous mislocalization effects were only obtained for the 10-Hz stimulation, precluding the involvement of Pacinian corpuscles in systematic mislocalization. In the second experiment, Pacinian corpuscles were functionally eliminated by applying a constant 100-Hz vibratory masking stimulus together with near-threshold pulses. Despite masking, systematic mislocation patterns were observed rendering the involvement of Pacinian corpuscles unlikely. The results of both experiments are in favor of the 'central hypothesis' assuming that the extent of overlap in somatosensory representations is modulated by stimulus intensity.
Cold perception and cutaneous microvascular response to local cooling at different cooling temperatures.	The aim of the present study was to investigate the effect of quantitatively measured cold perception (CP) thresholds on microcirculatory response to local cooling as measured by direct and indirect response of laser-Doppler (LD) flux during local cooling at different temperatures. The CP thresholds were measured in 18 healthy males using the Marstock method (thermode placed on the thenar). The direct (at the cooling site) and indirect (on contralateral hand) LD flux responses were recorded during immersion of the hand in a water bath at 20°C, 15°C, and 10°C. The cold perception threshold correlated (linear regression analysis, Pearson correlation) with the indirect LD flux response at cooling temperatures 20°C (r=0.782, p<0.01) and 15°C (r=0.605, p<0.01). In contrast, there was no correlation between the CP threshold and the indirect LD flux response during cooling in water at 10°C. The results demonstrate that during local cooling, depending on the cooling temperature used, cold perception threshold influences indirect LD flux response.
The absolute threshold of cone vision.	We report measurements of the absolute threshold of cone vision, which has been previously underestimated due to suboptimal conditions or overly strict subjective response criteria. We avoided these limitations by using optimized stimuli and experimental conditions while having subjects respond within a rating scale framework. Small (1' fwhm), brief (34 ms), monochromatic (550 nm) stimuli were foveally presented at multiple intensities in dark-adapted retina for 5 subjects. For comparison, 4 subjects underwent similar testing with rod-optimized stimuli. Cone absolute threshold, that is, the minimum light energy for which subjects were just able to detect a visual stimulus with any response criterion, was 203 ± 38 photons at the cornea, ~0.47 log unit lower than previously reported. Two-alternative forced-choice measurements in a subset of subjects yielded consistent results. Cone thresholds were less responsive to criterion changes than rod thresholds, suggesting a limit to the stimulus information recoverable from the cone mosaic in addition to the limit imposed by Poisson noise. Results were consistent with expectations for detection in the face of stimulus uncertainty. We discuss implications of these findings for modeling the first stages of human cone vision and interpreting psychophysical data acquired with adaptive optics at the spatial scale of the receptor mosaic.
Proximal and distal esophageal sensitivity is decreased in patients with Barrett's esophagus.	To investigate sensations to multimodal pain stimulation in the metaplastic and normal parts of the esophagus in patients with Barrett's esophagus (BE).
Clinical evaluation of peripheral trigeminal nerve injuries.	This article presents a standardized method of clinical evaluation of the patient with a peripheral trigeminal nerve injury that provides both subjective and objective information. This evaluation scheme has been used by 1 author for more than 30 years (RAM) and by the other author (SCB) for 10 years. The information is easily obtained and recorded in the patient's record, and it can be used by any clinician who performs subsequent evaluations on the same patient. The NST methods have been used successfully by specialists in other surgical disciplines for many years, and the various test results have been found to be closely correlated with the injuries found when the responsible nerve was surgically explored.Alternate testing methods or equipment are available that are used primarily in clinical and laboratory research rather than clinical practice. The reader who is interested in more information is encouraged to consult (Further Readings).
Exogenous and endogenous attention during perceptual learning differentially affect post-training target thresholds.	There is conflicting evidence in the literature regarding the role played by attention in perceptual learning. To further examine this issue, we independently manipulated exogenous and endogenous attention and measured the rate of perceptual learning of oriented Gabor patches presented in different quadrants of the visual field. In this way, we could track learning at attended, divided-attended, and unattended locations. We also measured contrast thresholds of the Gabor patches before and after training. Our results showed that, for both exogenous and endogenous attention, accuracy in performing the orientation discrimination improved to a greater extent at attended than at unattended locations. Importantly, however, only exogenous attention resulted in improved contrast thresholds. These findings suggest that both exogenous and endogenous attention facilitate perceptual learning, but that these two types of attention may be mediated by different neural mechanisms.
Spatial non-homogeneity of the antagonistic surround in motion perception.	At high contrast, duration thresholds for motion direction discrimination deteriorate with increasing stimulus size. This counterintuitive result has been explained by the center-surround antagonism present in the neurons of visual area MT. Conversely, at very low contrast, direction discrimination improves with increasing size, a result that has been explained by spatial summation. In this investigation, we study the effects of stimulus shape and contrast on center-surround antagonism. Using adaptive Bayesian staircases, we measured duration thresholds of 5 subjects for vertically oriented Gabor patches of 1 cycle/deg with two types of oval Gaussian windows, one vertically elongated (Sx = 0.35, Sy = 2.5 deg) and other horizontally elongated (Sx = 2.5, Sy = 0.35 deg) moving rightward or leftward at a speed of 2 deg/s. We found that at high contrast (92%) duration thresholds were lower for vertically than horizontally elongated windows. However, at low contrast (2.8%), we found that duration thresholds were lower for horizontally than vertically elongated windows. These asymmetric results mirror the spatial non-homogeneity of the antagonistic surround found in MT neurons and suggest that the underlying center-surround antagonism is stronger along the direction of motion.
Can we track holes?	The evidence is mixed as to whether the visual system treats objects and holes differently. We used a multiple object tracking task to test the hypothesis that figural objects are easier to track than holes. Observers tracked four of eight items (holes or objects). We used an adaptive algorithm to estimate the speed allowing 75% tracking accuracy. In Experiments 1-5, the distinction between holes and figures was accomplished by pictorial cues, while red-cyan anaglyphs were used to provide the illusion of depth in Experiment 6. We variously used Gaussian pixel noise, photographic scenes, or synthetic textures as backgrounds. Tracking was more difficult when a complex background was visible, as opposed to a blank background. Tracking was easier when disks carried fixed, unique markings. When these factors were controlled for, tracking holes was no more difficult than tracking figures, suggesting that they are equivalent stimuli for tracking purposes.
The effects of aging on contour discrimination in clutter.	The present study examined the effect of aging on the detection and discrimination of contours embedded in a dense field of distractors. The minimum stimulus duration required to correctly discriminate (Experiment 1) and detect (Experiment 2) three types of "C" shaped contours was measured. Overall, older subjects required longer stimulus durations than younger subjects in all conditions. Comparing performance for contours comprising elements oriented tangentially to the contour path (aligned) and those oriented orthogonally to the contour (radial) revealed that the effect of local orientation on contour discrimination is slightly greater in older than younger subjects. Control experiments showed that these age differences were not due to differences in retinal illuminance, or the detectability or discriminability of the elements comprising the contours. These findings suggest that ability to extract global contours embedded in clutter declines in older age.
Relative contributions of the two eyes to perceived egocentric visual direction in normal binocular vision.	Perceived egocentric direction (EVD) is based on the sensed position of the eyes in the orbit and the oculocentric visual direction (eye-centered, OVD). Previous reports indicate that in some subjects eye-position information from the two eyes contributes unequally to the perceived EVD. Findings from other studies indicate that the retinal information from the two eyes may not always contribute equally to perceived OVD. The goal of this study was to assess whether these two sources of information covary similarly within the same individuals. Open-loop pointing responses to an isolated target presented randomly at several horizontal locations were collected from 13 subjects during different magnitudes of asymmetric vergence to estimate the contribution of the position information from each eye to perceived EVD. For the same subjects, the direction at which a horizontally or vertically disparate target with different interocular contrast or luminance ratios appeared aligned with a non-disparate target estimated the relative contribution of each eye's retinal information. The results show that the eye-position and retinal information vary similarly in most subjects, which is consistent with a modified version of Hering's law of visual direction.
